ID,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
14.0,博多 なぎの木 西中洲本店,050-5485-4742, ,福岡県,福岡市中央区西中洲,10-1,,https://r.gnavi.co.jp/f350200/,True
15.0,個室×もつ鍋 健美食彩 SENSU（扇子）,050-5484-7174, ,静岡県,藤枝市駅前,1-6-29,マルマンビル2F,https://r.gnavi.co.jp/kfcpg8840000/,True
16.0,魚民 新居浜登り道サンロード店,0897-32-0388, ,愛媛県,新居浜市泉池町,8-32,コロンボ3号ビル1F,https://r.gnavi.co.jp/s026021/,True
17.0,博多もつ鍋 おおやま カウンター KITTE博多,050-5493-8037, ,福岡県,福岡市博多区博多駅中央街,9-1,KITTE博多B1,https://r.gnavi.co.jp/cb45c2ra0000/,True
18.0,もつ鍋居酒屋 熱炎,050-5484-1327, ,愛媛県,大洲市東大洲,414,,https://r.gnavi.co.jp/exxek62v0000/,True
19.0,楽家,050-5487-0882, ,沖縄県,那覇市高良,3-2-16,,https://r.gnavi.co.jp/r9k88tsd0000/,True
20.0,完全個室 つくよみ離れ 博多駅博多口,050-5486-0797, ,福岡県,福岡市博多区博多駅前,1-15-20,NOF博多駅前ビルB1,https://r.gnavi.co.jp/h5rxk17w0000/,True
21.0,京もつ鍋ホルモン朱々 浦添店,050-5486-2248, ,沖縄県,浦添市伊祖,2-25-3,,https://r.gnavi.co.jp/a5jsmcz70000/,True
22.0,やきとり家 すみれ 会津若松店,050-5486-7249, ,福島県,会津若松市東千石,2-2-1,,https://r.gnavi.co.jp/rwwa90ma0000/,True
23.0,天神,050-5485-1736, ,愛媛県,松山市二番町,2-6-8,,https://r.gnavi.co.jp/gkfr6pwr0000/,True
24.0,博多もつ鍋と地鶏焼き鳥 食べ放題×完全個室 天の川 錦糸町駅前店,050-5492-3079, ,東京都,墨田区江東橋,4-20-4,エメラルドビル2F,https://r.gnavi.co.jp/5gdm5txb0000/?sc_type=area&sc_area=jp&sc_dsp=rs_186405,True
25.0,とうか,050-5485-8086, ,東京都,渋谷区道玄坂,1-11-3,フォースワンビル2F,https://r.gnavi.co.jp/a357000/?sc_type=area&sc_area=jp&sc_dsp=rs_182135,True
26.0,個室・和食 和風ライオン安具楽（あぐら） 新宿店,050-5484-0414, ,東京都,新宿区新宿,3-28-9,5F,https://r.gnavi.co.jp/g160500/?sc_type=area&sc_area=jp&sc_dsp=rs_183669,True
27.0,魚民 尾道南口駅前店,0848-24-3788, ,広島県,尾道市東御所町,2-11,みやビル1F,https://r.gnavi.co.jp/y027626/,True
28.0,魚民 佐沼店,0220-22-9488, ,宮城県,登米市迫町佐沼字中江,2-2-11,1F,https://r.gnavi.co.jp/t338115/,True
29.0,魚民 伊豆長岡駅前店,055-949-2988, ,静岡県,伊豆の国市南條,744-1,ナガスミ2F,https://r.gnavi.co.jp/pmxaudnt0000/,True
30.0,全席個室居酒屋 海鮮と鍋 北海道紀行 浜松町店,050-5492-2506, ,東京都,港区浜松町,2-5-8,井門浜松町ビルB1,https://r.gnavi.co.jp/3f3hb0u00000/?sc_type=area&sc_area=jp&sc_dsp=rs_184590,True
31.0,御八 池袋店,050-5484-1505, ,東京都,豊島区西池袋,1-22-2,ナカヤビルB1,https://r.gnavi.co.jp/fzw3jmca0000/,True
32.0,九州魂 呉駅前店,050-5487-5186, ,広島県,呉市宝町,2-50,RECRE3F,https://r.gnavi.co.jp/jp054yu30000/,True
33.0,魚民 津山大手町店,0868-25-1288, ,岡山県,津山市大手町,5-10,対鶴ビル1F,https://r.gnavi.co.jp/16myt80b0000/,True
34.0,肉問屋直営 黒毛和牛全品食べ飲み放題 牛若丸 武蔵小杉店,050-5493-6458, ,神奈川県,川崎市中原区小杉町,3-442-15,1F,https://r.gnavi.co.jp/9bptuyk90000/,True
35.0,もつ鍋 田しゅう 広島店,050-5486-8381, ,広島県,広島市中区紙屋町,1-6-9,星ビル2F,https://r.gnavi.co.jp/b0k2t4gc0000/,True
36.0,博多くろがね 本店,050-5488-8635, ,福岡県,福岡市博多区博多駅中央街,1-1,西高架下1F,https://r.gnavi.co.jp/2p4nzjkb0000/,True
37.0,和牛・肉寿司食べ放題 個室居酒屋 えびす商店 広島袋町流川店,050-5487-4642, ,広島県,広島市中区堀川町,4-17,小松屋ビルB1,https://r.gnavi.co.jp/ph0tccxj0000/,True
38.0,魚民 萩店,0838-25-6988, ,山口県,萩市大字土原,493-1,,https://r.gnavi.co.jp/7sw37mdm0000/,True
39.0,魚民 西那須野店,0287-37-4988, ,栃木県,那須塩原市西三島,1-138-12,西三島貸店舗1F,https://r.gnavi.co.jp/gau4619/,True
40.0,魚民 湯田温泉店,083-928-8688, ,山口県,山口市湯田温泉,4-7-15,1F,https://r.gnavi.co.jp/y027685/,True
41.0,魚民 上井草南口駅前店,03-5382-2488, ,東京都,杉並区上井草,2-45-3,アールコリーヌ上井草1・2F,https://r.gnavi.co.jp/gajn170/,True
42.0,魚民 宇多津店,0877-41-0188, ,香川県,綾歌郡宇多津町浜二番丁,20-13,オークプラザ 1F,https://r.gnavi.co.jp/ezmybd410000/,True
43.0,もつ焼きと円盤餃子 もつ治,050-5487-3966, ,福島県,福島市置賜町,5-19,1F,https://r.gnavi.co.jp/61jfrdz30000/,True
44.0,魚民 肥後大津南口駅前店（熊本県）,096-293-4488, ,熊本県,菊池郡大津町室,212-3,ひまわりビル1F,https://r.gnavi.co.jp/g39892ad0000/,True
45.0,魚民 ゆりまち袖ケ浦駅前モール店,0438-63-9388, ,千葉県,袖ケ浦市袖ケ浦駅前,1-39-10,ゆりまち袖ケ浦駅前モール1F,https://r.gnavi.co.jp/4hrsd07p0000/,True
46.0,魚民 丸亀店,0877-58-1688, ,香川県,丸亀市富屋町,73-3,西川屋ビル1F,https://r.gnavi.co.jp/s026017/,True
47.0,なかすっ娘 仙台一番町店,050-5488-8689, ,宮城県,仙台市青葉区一番町,4-3-28,第一勝山ビルB1,https://r.gnavi.co.jp/j5z8d8nk0000/,True
48.0,海鮮居酒屋 「はる好し庭」,050-5485-0323, ,福岡県,福岡市中央区春吉,2-6-8,,https://r.gnavi.co.jp/faua400/?sc_type=area&sc_area=jp&sc_dsp=rs_183229,True
49.0,個室・九州沖縄 芋んちゅ 東岡崎店,050-5485-2818, ,愛知県,岡崎市明大寺本町,4-18,,https://r.gnavi.co.jp/n058028/?sc_type=area&sc_area=jp&sc_dsp=rs_188708,True
50.0,三ツ石ファーム,050-5484-8926, ,東京都,渋谷区恵比寿南,3-2-19,エスペランサ恵比寿2F,https://r.gnavi.co.jp/g915701/?sc_type=area&sc_area=jp&sc_dsp=rs_184140,True
